	China	
	India	
	United States	
	Indonesia	
	Pakistan	
	Brazil	
	Nigeria	
	Bangladesh	
	Russia	
	Mexico	
	Japan	
	Ethiopia	
	Philippines	
	Egypt	
	Vietnam	
	DR Congo	
	Turkey	
	Iran	
	Germany	
	Thailand	
	United Kingdom	
	France	
	Italy	
	Tanzania	
	South Africa	
	Myanmar	
	Kenya	
	South Korea	
	Colombia	
	Spain	
	Uganda	
	Argentina	
	Algeria	
	Sudan	
	Ukraine	
	Iraq	
	Afghanistan	
	Poland	
	Canada	
	Morocco	
	Saudi Arabia	
	Uzbekistan	
	Peru	
	Angola	
	Malaysia	
	Mozambique	
	Ghana	
	Yemen	
	Nepal	
	Venezuela	
	Madagascar	
	Cameroon	
	Côte d'Ivoire	
	North Korea	
	Australia	
	Niger	
	Sri Lanka	
	Burkina Faso	
	Mali	
	Romania	
61	Malawi	19,129,952	0.2 %	94,280
62	Chile	19,116,201	0.2 %	743,532
63	Kazakhstan	18,776,707	0.2 %	2,699,700
64	Zambia	18,383,955	0.2 %	743,390
65	Guatemala	17,915,568	0.2 %	107,160
66	Ecuador	17,643,054	0.2 %	248,360
67	Syria	17,500,658	0.2 %	183,630
68	Netherlands	17,134,872	0.2 %	33,720
69	Senegal	16,743,927	0.2 %	192,530
70	Cambodia	16,718,965	0.2 %	176,520
71	Chad	16,425,864	0.2 %	1,259,200
72	Somalia	15,893,222	0.2 %	627,340
73	Zimbabwe	14,862,924	0.2 %	386,850
74	Guinea	13,132,795	0.2 %	245,720
75	Rwanda	12,952,218	0.2 %	24,670
76	Benin	12,123,200	0.2 %	112,760
77	Burundi	11,890,784	0.2 %	25,680
78	Tunisia	11,818,619	0.2 %	155,360
79	Bolivia	11,673,021	0.1 %	1,083,300
80	Belgium	11,589,623	0.1 %	30,280
81	Haiti	11,402,528	0.1 %	27,560
82	Cuba	11,326,616	0.1 %	106,440
83	South Sudan	11,193,725	0.1 %	610,952
84	Dominican Republic	10,847,910	0.1 %	48,320
85	Czech Republic (Czechia)	10,708,981	0.1 %	77,240
86	Greece	10,423,054	0.1 %	128,900
87	Jordan	10,203,134	0.1 %	88,780
88	Portugal	10,196,709	0.1 %	91,590
89	Azerbaijan	10,139,177	0.1 %	82,658
90	Sweden	10,099,265	0.1 %	410,340
91	Honduras	9,904,607	0.1 %	111,890
92	United Arab Emirates	9,890,402	0.1 %	83,600
93	Hungary	9,660,351	0.1 %	90,530
94	Tajikistan	9,537,645	0.1 %	139,960
95	Belarus	9,449,323	0.1 %	202,910
96	Austria	9,006,398	0.1 %	82,409
97	Papua New Guinea	8,947,024	0.1 %	452,860
98	Serbia	8,737,371	0.1 %	87,460
99	Israel	8,655,535	0.1 %	21,640
100	Switzerland	8,654,622	0.1 %	39,516
101	Togo	8,278,724	0.1 %	54,390
102	Sierra Leone	7,976,983	0.1 %	72,180
103	Laos	7,275,560	0.1 %	230,800
104	Paraguay	7,132,538	0.1 %	397,300
105	Bulgaria	6,948,445	0.1 %	108,560
106	Libya	6,871,292	0.1 %	1,759,540
107	Lebanon	6,825,445	0.1 %	10,230
108	Nicaragua	6,624,554	0.1 %	120,340
109	Kyrgyzstan	6,524,195	0.1 %	191,800
110	El Salvador	6,486,205	0.1 %	20,720
111	Turkmenistan	6,031,200	0.1 %	469,930
112	Singapore	5,850,342	0.1 %	700
113	Denmark	5,792,202	0.1 %	42,430
114	Finland	5,540,720	0.1 %	303,890
115	Congo	5,518,087	0.1 %	341,500
116	Slovakia	5,459,642	0.1 %	48,088
117	Norway	5,421,241	0.1 %	365,268
118	Oman	5,106,626	0.1 %	309,500
119	State of Palestine	5,101,414	0.1 %	6,020
120	Costa Rica	5,094,118	0.1 %	51,060
121	Liberia	5,057,681	0.1 %	96,320
122	Ireland	4,937,786	0.1 %	68,890
123	Central African Republic	4,829,767	0.1 %	622,980
124	New Zealand	4,822,233	0.1 %	263,310
125	Mauritania	4,649,658	0.1 %	1,030,700
126	Panama	4,314,767	0.1 %	74,340
127	Kuwait	4,270,571	0.1 %	17,820
128	Croatia	4,105,267	0.1 %	55,960
129	Moldova	4,033,963	0.1 %	32,850
130	Georgia	3,989,167	0.1 %	69,490
131	Eritrea	3,546,421	0 %	101,000
132	Uruguay	3,473,730	0 %	175,020
